Make,Model,Year,Color,Price,Horsepower,FuelEconomy,Trim
Tesla,Model Y,2023,Red,44445,456,111,Performance
Chevrolet,Silverado 1500,2022,Charcoal,35379,310,20,LT
Ford,Bronco,2023,Charcoal,41522,275,20,Outer Banks
Kia,K5,2021,Green,17621,180,31,LXS
Jeep,Wrangler,2021,Red,67635,470,14,Rubicon 392
Tesla,Model Y,2021,Green,35915,384,122,Long Range
Nissan,Rogue,2020,Green,26477,201,33,Platinum
Honda,Pilot,2023,Burgundy,36393,285,22,EX-L
Kia,Telluride,2024,Orange,33482,291,23,LX
Hyundai,Elantra,2023,Green,23970,201,31,N Line
Tesla,Model S,2021,Burgundy,53467,670,120,Long Range
Ram,1500,2024,Orange,42777,305,23,Big Horn
Chevrolet,Corvette,2024,White,71074,490,19,Stingray 2LT
Mercedes-Benz,C-Class,2025,Yellow,61825,402,22,AMG C 43
Chevrolet,Tahoe,2025,Burgundy,55175,355,17,LS
Subaru,Crosstrek,2023,Charcoal,22152,152,29,Base
Nissan,Altima,2025,Charcoal,26527,188,32,S
Hyundai,Tucson,2023,Pearl White,22886,187,28,SEL
Hyundai,Elantra,2020,Black,14107,147,34,SEL
Nissan,Rogue,2025,Green,29667,201,33,S
Jeep,Grand Cherokee,2024,Orange,40585,293,22,Limited
Ford,Mustang,2025,Yellow,32851,315,26,EcoBoost
Volkswagen,Jetta,2021,Charcoal,15288,158,34,Sport
Tesla,Model Y,2024,Matte Black,48417,456,111,Performance
Subaru,Outback,2024,Pearl White,25601,182,28,Base
Subaru,Crosstrek,2022,Yellow,22788,182,29,Sport
Audi,Q5,2024,Red,46567,261,25,Premium Plus 45
Nissan,Altima,2023,Yellow,28765,248,29,SR VC-Turbo
Tesla,Model Y,2021,Orange,36114,384,122,Long Range
BMW,3 Series,2021,Grey,39336,382,26,M340i
Jeep,Wrangler,2023,Green,26191,285,20,Sport
Honda,CR-V,2021,Burgundy,21921,190,30,EX
Volkswagen,Jetta,2022,Pearl White,15950,158,34,Sport
Honda,Civic,2025,Black,25253,158,33,Sport
Hyundai,Tucson,2023,Grey,22467,187,28,SE
Honda,Pilot,2021,Green,29685,285,22,Sport
Ram,1500,2023,Silver,31715,305,23,Tradesman
Subaru,Crosstrek,2022,Silver,21518,182,29,Sport
Toyota,Camry,2023,Orange,23200,203,32,LE
Tesla,Model S,2024,Silver,82520,1020,116,Plaid
Subaru,Outback,2022,Blue,31192,260,23,Wilderness
Tesla,Model S,2023,Matte Black,75527,1020,116,Plaid
Nissan,Altima,2021,White,19748,188,32,S
Kia,K5,2023,Matte Black,23227,180,31,LXS
Honda,Pilot,2021,Black,34337,285,20,TrailSport
Ram,1500,2024,Burgundy,62569,395,22,Limited
Volkswagen,Jetta,2021,Black,17586,158,34,Sport
Chevrolet,Tahoe,2025,Charcoal,60426,355,17,LT
Mercedes-Benz,C-Class,2022,Blue,48676,402,22,AMG C 43
Ford,Bronco,2024,Green,42747,275,20,Outer Banks
Hyundai,Elantra,2021,White,24700,276,24,N
Mercedes-Benz,GLE,2022,Black,68368,429,20,AMG GLE 53
Kia,Telluride,2022,Matte Black,28189,291,23,LX
Tesla,Model 3,2025,Red,54126,510,113,Performance
Ram,1500,2023,Yellow,80121,702,12,TRX
Ram,1500,2023,Black,45502,395,22,Laramie
Ram,1500,2022,White,35417,305,23,Big Horn
Nissan,Altima,2023,Orange,31208,248,29,SR VC-Turbo
Jeep,Grand Cherokee,2024,Orange,59371,293,22,Summit
Jeep,Wrangler,2020,Matte Black,59994,470,14,Rubicon 392
Nissan,Altima,2022,Matte Black,29056,248,29,SR VC-Turbo
Tesla,Model 3,2024,Blue,36616,279,132,RWD
Honda,Civic,2024,Charcoal,23254,158,35,LX
Ford,F-150,2024,Midnight Blue,45049,325,20,XLT
Nissan,Rogue,2020,Matte Black,18358,201,33,SV
Tesla,Model Y,2025,Yellow,51270,456,111,Performance
Ram,1500,2024,Midnight Blue,36673,305,23,Tradesman
Chevrolet,Silverado 1500,2023,Black,39190,310,20,LT
Honda,CR-V,2020,Yellow,20621,190,30,EX
Hyundai,Tucson,2022,Black,24815,226,38,Hybrid Blue
Kia,Telluride,2024,Black,45823,291,23,SX Prestige
Jeep,Grand Cherokee,2024,Yellow,32522,293,22,Laredo
Chevrolet,Tahoe,2022,Charcoal,45478,355,17,LS
Chevrolet,Tahoe,2024,White,57451,355,17,LT
BMW,3 Series,2025,Yellow,76344,473,19,M3
Chevrolet,Tahoe,2024,Red,71407,420,16,High Country
Ford,F-150,2024,Blue,58567,400,20,Lariat
Audi,Q5,2023,Yellow,42427,261,25,Premium Plus 45
Nissan,Rogue,2023,Silver,25519,201,33,S
Mercedes-Benz,C-Class,2023,Blue,51962,402,22,AMG C 43
Jeep,Grand Cherokee,2024,Charcoal,58287,293,22,Summit
BMW,X5,2025,Grey,65792,375,25,sDrive40i
Honda,Pilot,2024,Blue,40897,285,22,EX-L
Hyundai,Tucson,2024,Green,27884,187,28,SEL
BMW,3 Series,2024,Matte Black,71905,473,19,M3
Mercedes-Benz,GLE,2021,Charcoal,45304,255,24,GLE 350
Toyota,Prius,2024,Matte Black,32628,194,52,Limited
Ford,F-150,2024,Silver,43001,325,20,XLT
Hyundai,Elantra,2021,Orange,22634,276,24,N
Jeep,Grand Cherokee,2024,Burgundy,31948,293,22,Laredo
Ram,1500,2023,Yellow,34043,305,23,Tradesman
Audi,Q5,2020,White,29297,201,26,Premium 40
Tesla,Model 3,2022,Matte Black,37017,393,130,Long Range
Hyundai,Elantra,2024,Blue,30145,276,24,N
Chevrolet,Corvette,2021,Midnight Blue,56162,490,19,Stingray 3LT
Ram,1500,2023,Matte Black,33152,305,23,Tradesman
Nissan,Altima,2020,Green,24262,248,29,SR VC-Turbo
BMW,3 Series,2022,Black,33166,255,29,330i
Tesla,Model S,2023,Silver,76574,1020,116,Plaid
Volkswagen,Tiguan,2024,Matte Black,37014,184,26,SEL R-Line
Volkswagen,Jetta,2023,Red,19130,158,34,Sport
BMW,X5,2024,White,83422,523,19,M60i
Honda,CR-V,2023,Green,29178,204,40,Sport Hybrid
Kia,K5,2024,Yellow,29164,290,27,GT
Audi,A4,2024,Charcoal,48817,349,24,S4
Ford,F-150,2021,Grey,48629,400,20,Lariat
Kia,Telluride,2024,White,35658,291,23,S
Jeep,Wrangler,2024,Midnight Blue,84658,470,14,Rubicon 392
Tesla,Model 3,2023,Red,46546,510,113,Performance
Mercedes-Benz,C-Class,2023,Black,39486,255,30,C 300
Hyundai,Tucson,2023,Orange,29154,226,38,Hybrid Blue
Ram,1500,2021,Yellow,46124,395,22,Limited
Nissan,Rogue,2021,Charcoal,27764,201,33,Platinum
Mercedes-Benz,C-Class,2024,Silver,55972,402,22,AMG C 43
Jeep,Wrangler,2020,Charcoal,31805,285,17,Rubicon
Kia,K5,2022,Yellow,25408,290,27,GT
Nissan,Rogue,2023,Blue,32417,201,33,Platinum
Jeep,Grand Cherokee,2024,Matte Black,34853,293,22,Laredo
Tesla,Model Y,2024,Grey,45218,384,122,Long Range
Jeep,Wrangler,2023,Midnight Blue,25349,285,20,Sport
Ram,1500,2022,Yellow,40975,395,22,Laramie
Nissan,Rogue,2021,White,21008,201,33,SV
Chevrolet,Silverado 1500,2021,Matte Black,36606,355,19,RST
Mercedes-Benz,C-Class,2022,Green,47224,402,22,AMG C 43
Ford,Bronco,2025,Green,40133,275,20,Big Bend
Tesla,Model S,2024,Grey,84488,1020,116,Plaid
Mercedes-Benz,C-Class,2021,Black,33293,255,30,C 300
Toyota,Tacoma,2024,Grey,47682,278,21,Limited
Nissan,Rogue,2024,Midnight Blue,28269,201,33,S
Audi,Q5,2022,Green,44028,349,21,SQ5
Audi,Q5,2024,Blue,44544,261,25,Premium Plus 45
Kia,Telluride,2022,Blue,26462,291,23,LX
Subaru,Outback,2022,Burgundy,23621,182,28,Premium
BMW,X5,2023,Orange,55951,375,25,sDrive40i
Toyota,Tacoma,2024,Orange,46015,278,21,Limited
Toyota,Camry,2021,Pearl White,18021,203,32,LE
Nissan,Altima,2021,Yellow,19829,188,32,SR
Ford,Mustang,2022,Burgundy,31246,480,18,GT
Ram,1500,2024,Orange,88565,702,12,TRX
Kia,K5,2021,Matte Black,16482,180,31,LXS
Subaru,Crosstrek,2023,Matte Black,25452,182,29,Limited
Subaru,Crosstrek,2022,Midnight Blue,23292,182,29,Limited
Ram,1500,2023,Charcoal,33879,305,23,Tradesman
Ram,1500,2022,Charcoal,73767,702,12,TRX
Nissan,Altima,2024,Silver,24672,188,32,S
Chevrolet,Silverado 1500,2024,Red,33055,310,20,WT
BMW,3 Series,2023,Grey,66319,473,19,M3
Mercedes-Benz,GLE,2023,Yellow,59901,375,22,GLE 450
Subaru,Crosstrek,2023,White,25778,182,29,Limited
Ram,1500,2022,Midnight Blue,52282,395,22,Limited
Subaru,Crosstrek,2020,Green,18257,182,29,Sport
BMW,3 Series,2024,Yellow,51586,382,26,M340i
Tesla,Model Y,2025,Matte Black,54191,456,111,Performance
Honda,Civic,2020,Black,18421,180,36,EX
Kia,K5,2024,Burgundy,28064,290,27,GT
Ford,Explorer,2022,Blue,40144,400,21,ST
Tesla,Model 3,2024,Yellow,50732,510,113,Performance
Toyota,Prius,2023,Burgundy,24812,194,52,XLE
Mercedes-Benz,C-Class,2022,Yellow,47708,402,22,AMG C 43
Mercedes-Benz,GLE,2022,Red,50305,255,24,GLE 350
BMW,3 Series,2022,Silver,46039,382,26,M340i
Mercedes-Benz,GLE,2025,Midnight Blue,69177,375,22,GLE 450
Jeep,Grand Cherokee,2025,Grey,63237,293,22,Summit
Kia,Telluride,2022,Burgundy,41476,291,23,SX Prestige
Ford,Explorer,2023,Midnight Blue,29593,300,24,XLT
Tesla,Model 3,2020,Blue,36737,510,113,Performance
Volkswagen,Jetta,2024,Matte Black,28500,228,30,GLI Autobahn
Toyota,Tacoma,2021,Green,27127,278,20,TRD Sport
Jeep,Grand Cherokee,2020,Black,39514,293,22,Summit
Ford,Explorer,2023,Yellow,30845,300,24,XLT
Mercedes-Benz,GLE,2022,Yellow,65681,429,20,AMG GLE 53
Kia,Telluride,2020,Charcoal,33117,291,23,SX Prestige
Nissan,Rogue,2023,Blue,25711,201,33,SV
Mercedes-Benz,C-Class,2022,White,36660,255,30,C 300
Kia,K5,2024,Matte Black,24349,180,31,LXS
BMW,3 Series,2024,White,40486,255,29,330i
Toyota,Prius,2025,Pearl White,31979,194,52,XLE
Kia,Telluride,2022,Silver,28744,291,23,S
Tesla,Model Y,2023,Silver,43116,456,111,Performance
BMW,X5,2023,Pearl White,60727,483,58,xDrive50e
Audi,A4,2021,Blue,30061,201,30,Premium 40
BMW,X5,2024,Green,83693,523,19,M60i
Ram,1500,2024,Burgundy,62657,395,22,Limited
Ford,F-150,2025,Midnight Blue,48808,325,20,XLT
Jeep,Grand Cherokee,2022,Matte Black,50514,293,22,Summit
Mercedes-Benz,C-Class,2025,Charcoal,46719,255,30,C 300
Chevrolet,Silverado 1500,2024,Grey,64861,420,15,ZR2
Audi,Q5,2022,Silver,44872,349,21,SQ5
Volkswagen,Tiguan,2020,Midnight Blue,22388,184,27,SE
Mercedes-Benz,GLE,2022,Blue,67756,429,20,AMG GLE 53
Audi,Q5,2025,Grey,57106,349,21,SQ5
Tesla,Model S,2023,Grey,64525,670,120,Long Range
Chevrolet,Silverado 1500,2024,Charcoal,45340,310,20,LT
Subaru,Outback,2023,Green,35366,260,23,Wilderness
Jeep,Grand Cherokee,2024,Burgundy,32520,293,22,Laredo
Jeep,Wrangler,2022,Pearl White,37753,285,17,Rubicon
Hyundai,Tucson,2022,Green,23959,187,28,SEL
Volkswagen,Tiguan,2022,Yellow,21889,184,27,S
Volkswagen,Jetta,2023,Silver,17680,158,34,S
Honda,Pilot,2024,Yellow,43320,285,20,TrailSport
Toyota,Prius,2024,Grey,28170,194,52,XLE
BMW,X5,2023,Green,59981,483,58,xDrive50e
BMW,X5,2022,Blue,56501,483,58,xDrive50e
Volkswagen,Tiguan,2023,Green,34893,184,26,SEL R-Line
BMW,3 Series,2022,White,46591,382,26,M340i
Mercedes-Benz,C-Class,2024,Blue,55299,402,22,AMG C 43
Audi,Q5,2024,Blue,54173,349,21,SQ5
Mercedes-Benz,GLE,2023,Red,74502,429,20,AMG GLE 53
Tesla,Model S,2021,Black,65587,1020,116,Plaid
BMW,3 Series,2024,Black,69530,473,19,M3
Tesla,Model Y,2024,Green,46188,384,122,Long Range
Ford,F-150,2020,Pearl White,22566,325,20,XL
Audi,Q5,2024,Grey,41791,201,26,Premium 40
Jeep,Grand Cherokee,2025,Grey,61687,293,22,Summit
Tesla,Model S,2024,Orange,82082,1020,116,Plaid
Jeep,Grand Cherokee,2025,Grey,64087,293,22,Summit
Mercedes-Benz,GLE,2024,White,80957,429,20,AMG GLE 53
Toyota,Camry,2024,Matte Black,29779,301,25,TRD
Toyota,RAV4,2023,Red,30744,203,28,Adventure
Mercedes-Benz,GLE,2024,Black,78897,429,20,AMG GLE 53
Kia,Telluride,2023,Grey,31894,291,23,LX
Tesla,Model S,2020,Yellow,47846,670,120,Long Range
Honda,Pilot,2020,Grey,27048,285,22,EX-L
Tesla,Model S,2023,Red,63571,670,120,Long Range
Chevrolet,Silverado 1500,2020,Yellow,23363,310,20,WT
Honda,CR-V,2025,Grey,35062,204,40,Sport Hybrid
Honda,Civic,2023,Burgundy,21546,158,35,LX
Kia,Telluride,2024,Charcoal,46088,291,23,SX Prestige
BMW,X5,2023,Black,56332,375,25,sDrive40i
Honda,Civic,2020,Charcoal,18382,180,34,Touring
Jeep,Grand Cherokee,2024,Pearl White,56800,293,22,Summit
Audi,A4,2023,Green,34876,201,30,Premium 40
Mercedes-Benz,GLE,2023,Burgundy,54707,255,24,GLE 350
Ram,1500,2025,Yellow,96736,702,12,TRX
Volkswagen,Jetta,2022,Midnight Blue,16895,158,34,Sport
Tesla,Model 3,2023,Red,31270,279,132,RWD
BMW,X5,2024,Burgundy,59423,375,25,sDrive40i
Ram,1500,2025,Yellow,64813,395,22,Limited
Jeep,Wrangler,2024,Yellow,43235,285,17,Rubicon
Ram,1500,2023,White,35127,305,23,Tradesman
Nissan,Altima,2024,Orange,32579,248,29,SR VC-Turbo
Toyota,Camry,2024,Charcoal,24951,203,32,SE
Volkswagen,Jetta,2024,Blue,18004,158,34,S
Mercedes-Benz,C-Class,2022,Black,45622,402,22,AMG C 43
Chevrolet,Silverado 1500,2023,Silver,39561,310,20,LT
Nissan,Altima,2021,Matte Black,18879,188,32,S
Volkswagen,Jetta,2024,Red,21428,158,34,Sport
Subaru,Crosstrek,2025,Yellow,28548,182,29,Sport
Tesla,Model 3,2023,Burgundy,33192,279,132,RWD
Nissan,Altima,2023,Green,24365,188,32,SR
Toyota,RAV4,2024,Orange,29544,203,30,XLE
Volkswagen,Tiguan,2024,Pearl White,24684,184,27,S
Honda,CR-V,2023,Pearl White,26456,190,30,LX
Audi,Q5,2022,Orange,33849,201,26,Premium 40
Audi,Q5,2024,Red,51525,349,21,SQ5
Nissan,Altima,2023,Silver,22658,188,32,S
Tesla,Model S,2024,Blue,82783,1020,116,Plaid
Honda,Pilot,2024,Black,46833,285,20,TrailSport
Jeep,Grand Cherokee,2023,Yellow,54410,293,22,Summit
Kia,Telluride,2021,Charcoal,26687,291,23,LX
Tesla,Model Y,2024,Pearl White,48075,456,111,Performance
Kia,Telluride,2025,Black,51629,291,23,SX Prestige
Jeep,Grand Cherokee,2024,Blue,40660,293,22,Limited
BMW,X5,2023,Matte Black,73638,523,19,M60i
Ram,1500,2023,Silver,56582,395,22,Limited
Hyundai,Elantra,2024,Blue,20068,147,34,SEL
Chevrolet,Corvette,2021,Burgundy,57461,490,19,Stingray 3LT
Nissan,Altima,2024,Burgundy,26215,188,32,SR
Ram,1500,2025,Burgundy,54362,395,22,Laramie
Jeep,Grand Cherokee,2023,Blue,32823,293,22,Laredo
BMW,3 Series,2022,Black,46603,382,26,M340i
Toyota,RAV4,2023,Green,24587,203,30,LE
Kia,Telluride,2023,Pearl White,30496,291,23,S
Chevrolet,Silverado 1500,2023,Orange,62570,420,15,ZR2
Honda,CR-V,2023,Yellow,28199,190,30,EX
Toyota,RAV4,2020,Red,24155,203,28,TRD Off-Road
Tesla,Model 3,2020,Orange,33003,393,130,Long Range
Hyundai,Elantra,2021,Pearl White,25888,276,24,N
Hyundai,Tucson,2023,Blue,28531,226,38,Hybrid Blue
Hyundai,Elantra,2021,Pearl White,22436,276,24,N
Tesla,Model Y,2021,Pearl White,39039,456,111,Performance
Chevrolet,Corvette,2022,Red,62810,490,19,Stingray 3LT
Ram,1500,2023,White,47798,395,22,Laramie
Jeep,Grand Cherokee,2021,Orange,31207,293,22,Limited
Toyota,Prius,2023,Charcoal,22637,194,57,LE
BMW,3 Series,2024,Matte Black,39772,255,29,330i
Chevrolet,Tahoe,2020,Silver,40769,355,17,LT
Volkswagen,Tiguan,2022,Blue,28618,184,26,SEL R-Line
Mercedes-Benz,GLE,2023,White,53139,255,24,GLE 350
Toyota,Tacoma,2022,Charcoal,40451,278,21,Limited
Toyota,Prius,2022,Burgundy,20319,194,57,LE
Kia,K5,2023,Grey,24452,180,31,GT-Line
Tesla,Model 3,2022,Burgundy,30957,279,132,RWD
Jeep,Wrangler,2023,Green,39562,285,17,Rubicon
Honda,Pilot,2022,Burgundy,37935,285,20,TrailSport
Tesla,Model S,2024,Red,82558,1020,116,Plaid
Chevrolet,Tahoe,2023,Burgundy,67056,420,16,High Country
Volkswagen,Jetta,2023,Red,26256,228,30,GLI Autobahn
Kia,Telluride,2023,Charcoal,43886,291,23,SX Prestige
BMW,3 Series,2024,White,70824,473,19,M3
Toyota,Prius,2022,Midnight Blue,29015,194,52,Limited
Ram,1500,2024,Charcoal,48888,395,22,Laramie
Tesla,Model S,2021,Red,53427,670,120,Long Range
Honda,Pilot,2022,Orange,37535,285,20,TrailSport
Ram,1500,2024,Orange,90139,702,12,TRX
Mercedes-Benz,C-Class,2025,Yellow,47488,255,30,C 300
Mercedes-Benz,C-Class,2022,Green,37008,255,30,C 300
Chevrolet,Corvette,2023,Burgundy,57559,490,19,Stingray 1LT
Chevrolet,Corvette,2021,Red,53940,490,19,Stingray 2LT
Ford,Mustang,2024,Grey,26789,315,26,EcoBoost
Toyota,Tacoma,2024,Red,39896,278,20,TRD Off-Road
Ram,1500,2022,Red,74636,702,12,TRX
Ram,1500,2023,Orange,55856,395,22,Limited
Jeep,Grand Cherokee,2020,Burgundy,42034,293,22,Summit
Volkswagen,Jetta,2021,Pearl White,18115,158,34,Sport
Audi,Q5,2022,Burgundy,35626,201,26,Premium 40
Tesla,Model 3,2020,Grey,34071,510,113,Performance
Mercedes-Benz,C-Class,2022,White,46933,402,22,AMG C 43
Toyota,Camry,2021,Green,20222,203,32,LE
Hyundai,Tucson,2024,White,27191,187,28,SEL
Chevrolet,Silverado 1500,2023,Midnight Blue,42385,310,20,LT
Subaru,Crosstrek,2025,Blue,26206,152,29,Base
Honda,Civic,2020,Matte Black,16132,180,36,EX
Toyota,Camry,2023,Silver,21958,203,32,LE
Honda,Pilot,2023,Grey,34935,285,22,EX-L
Nissan,Rogue,2023,Charcoal,26251,201,33,S
Audi,A4,2022,Red,35126,261,28,Premium Plus 45
Subaru,Crosstrek,2024,Charcoal,26919,182,29,Sport
Kia,K5,2024,White,30328,290,27,GT
BMW,3 Series,2021,Grey,33450,255,29,330i
Tesla,Model S,2021,Green,62685,1020,116,Plaid
Jeep,Wrangler,2024,Grey,27831,285,20,Sport
Tesla,Model 3,2024,Burgundy,36880,279,132,RWD
Hyundai,Tucson,2024,Silver,29766,226,38,Hybrid Blue
BMW,3 Series,2025,Blue,43936,255,29,330i
Hyundai,Elantra,2023,Grey,20055,147,36,SE
Honda,Civic,2024,White,22259,158,33,Sport
Subaru,Outback,2022,Charcoal,31699,260,23,Wilderness
Toyota,Camry,2022,Burgundy,21747,203,32,LE
Mercedes-Benz,GLE,2020,White,56048,429,20,AMG GLE 53
BMW,X5,2024,Black,68303,483,58,xDrive50e
Kia,K5,2021,Blue,18121,180,31,GT-Line
Volkswagen,Jetta,2020,Green,22865,228,30,GLI Autobahn
Jeep,Wrangler,2023,Silver,79420,470,14,Rubicon 392
Ram,1500,2022,Midnight Blue,34534,305,23,Big Horn
Ford,Explorer,2022,Pearl White,38415,400,21,ST
Nissan,Rogue,2024,Red,26293,201,33,S
Nissan,Rogue,2023,Yellow,26405,201,33,S
Subaru,Crosstrek,2020,Green,19592,182,29,Sport
BMW,X5,2023,Pearl White,76713,523,19,M60i
Audi,Q5,2020,Yellow,29916,201,26,Premium 40
Volkswagen,Tiguan,2024,Charcoal,28478,184,27,SE
Chevrolet,Corvette,2024,Pearl White,61145,490,19,Stingray 1LT
Ford,Bronco,2020,Midnight Blue,34764,275,17,Badlands
Volkswagen,Tiguan,2024,Black,29436,184,27,SE
Ram,1500,2020,Black,62959,702,12,TRX
Subaru,Crosstrek,2024,Blue,27320,182,29,Limited
Jeep,Wrangler,2025,White,33280,285,20,Sport
Toyota,Tacoma,2024,White,34396,278,20,TRD Sport
Kia,Telluride,2020,Matte Black,33526,291,23,SX Prestige
Honda,Civic,2024,Burgundy,23560,158,33,Sport
Jeep,Wrangler,2023,Blue,29024,285,20,Sport
Kia,K5,2024,Matte Black,24223,180,31,LXS
Toyota,Tacoma,2024,Charcoal,39321,278,20,TRD Off-Road
Honda,Civic,2022,Red,20381,158,35,LX
Tesla,Model 3,2022,Red,41478,510,113,Performance
Mercedes-Benz,C-Class,2021,Midnight Blue,33003,255,30,C 300
Chevrolet,Tahoe,2020,Blue,38372,355,17,LS
Toyota,Tacoma,2024,Matte Black,26982,228,21,SR
Tesla,Model Y,2022,Black,39461,384,122,Long Range
Volkswagen,Tiguan,2020,Charcoal,19358,184,27,S
Honda,Pilot,2023,Silver,34557,285,22,Sport
Honda,CR-V,2023,Charcoal,25439,190,30,LX
Honda,CR-V,2025,Blue,32530,204,40,Sport Hybrid
Ford,Explorer,2025,Matte Black,46756,300,24,ST-Line
Subaru,Crosstrek,2024,Burgundy,26095,182,29,Sport
Jeep,Grand Cherokee,2022,Matte Black,36704,293,22,Limited
Jeep,Grand Cherokee,2023,Pearl White,54133,293,22,Summit
Toyota,Tacoma,2025,Charcoal,38137,278,20,TRD Sport
Ford,Bronco,2024,Orange,46799,275,17,Badlands
Nissan,Altima,2020,Orange,19003,188,32,SR
Ford,Explorer,2023,Green,29701,300,24,XLT
Hyundai,Tucson,2023,Blue,26803,226,38,Hybrid Blue
Volkswagen,Tiguan,2020,Blue,18054,184,27,S
Honda,Pilot,2020,Orange,33040,285,20,TrailSport
Honda,Pilot,2022,Blue,34311,285,22,EX-L
Toyota,Prius,2025,Matte Black,28930,194,57,LE
Chevrolet,Silverado 1500,2023,Black,39791,310,20,LT
Ram,1500,2022,Yellow,31310,305,23,Tradesman
Volkswagen,Jetta,2022,White,18385,158,34,Sport
Hyundai,Elantra,2023,Orange,17567,147,36,SE
Tesla,Model Y,2023,Black,43182,456,111,Performance
Mercedes-Benz,C-Class,2022,Red,37591,255,30,C 300
Jeep,Grand Cherokee,2023,Black,39054,293,22,Limited
Nissan,Altima,2021,Silver,17460,188,32,S
Mercedes-Benz,C-Class,2022,Silver,36125,255,30,C 300
Toyota,Prius,2025,Orange,33558,194,52,Limited
Tesla,Model S,2025,Charcoal,90024,1020,116,Plaid
Tesla,Model S,2024,Orange,69114,670,120,Long Range
Chevrolet,Tahoe,2021,Green,55638,420,16,High Country
Jeep,Wrangler,2023,Black,27870,285,20,Sport
Honda,Civic,2022,Blue,22017,180,36,EX
Hyundai,Tucson,2022,Burgundy,26872,226,38,Hybrid Blue
Ram,1500,2022,White,75379,702,12,TRX
Volkswagen,Jetta,2024,Matte Black,20441,158,34,S
Audi,Q5,2024,Silver,44909,261,25,Premium Plus 45
Audi,A4,2025,Grey,44542,261,28,Premium Plus 45
Subaru,Crosstrek,2021,Midnight Blue,22742,182,29,Limited
Volkswagen,Jetta,2020,Red,15994,158,34,Sport
Subaru,Crosstrek,2024,Silver,25151,152,29,Base
Ford,Bronco,2025,Burgundy,51050,275,17,Badlands
BMW,3 Series,2024,Matte Black,71149,473,19,M3
Hyundai,Tucson,2022,Silver,23520,187,28,SEL
Ram,1500,2023,Charcoal,36132,305,23,Big Horn
Honda,Civic,2021,White,20159,180,36,EX
Chevrolet,Corvette,2021,Pearl White,57263,490,19,Stingray 3LT
Audi,Q5,2024,Silver,45156,261,25,Premium Plus 45
Ford,Explorer,2022,Matte Black,38446,400,21,ST
Ram,1500,2024,Blue,88646,702,12,TRX
Ford,Mustang,2024,Burgundy,27617,315,26,EcoBoost
Subaru,Outback,2022,Charcoal,32376,260,26,Onyx Edition XT
Honda,Civic,2024,Silver,23677,180,36,EX
Ford,F-150,2023,Orange,54746,400,20,Lariat
Honda,Pilot,2022,Green,36646,285,20,TrailSport
Jeep,Grand Cherokee,2021,Charcoal,31357,293,22,Limited
Ram,1500,2024,Grey,86867,702,12,TRX
Tesla,Model Y,2025,Blue,50449,384,122,Long Range
Audi,Q5,2023,Yellow,40294,201,26,Premium 40
Hyundai,Elantra,2022,Red,17679,147,34,SEL
Ram,1500,2020,Silver,27647,305,23,Big Horn
Hyundai,Elantra,2024,Green,19333,147,36,SE
Kia,K5,2024,Midnight Blue,30097,290,27,GT
Audi,A4,2022,Midnight Blue,43408,349,24,S4
Subaru,Crosstrek,2023,Blue,24394,182,29,Sport
Ram,1500,2024,Red,35002,305,23,Tradesman
Ram,1500,2022,Green,75749,702,12,TRX
Toyota,Tacoma,2023,White,27221,228,21,SR
Mercedes-Benz,GLE,2023,Grey,73481,429,20,AMG GLE 53
Mercedes-Benz,C-Class,2024,Green,57092,402,22,AMG C 43
Mercedes-Benz,GLE,2025,Pearl White,61958,255,24,GLE 350
Mercedes-Benz,GLE,2022,Silver,47325,255,24,GLE 350
Nissan,Altima,2021,Green,20828,188,32,SR
BMW,X5,2021,Green,48248,375,25,sDrive40i
Tesla,Model 3,2024,Orange,36211,279,132,RWD
Jeep,Wrangler,2022,Silver,36735,285,17,Rubicon
Nissan,Altima,2022,White,23302,188,32,SR
Tesla,Model 3,2022,Black,41373,510,113,Performance
Subaru,Outback,2022,Green,23022,182,28,Base
Kia,K5,2022,Black,21061,180,31,GT-Line
Kia,Telluride,2020,Pearl White,27055,291,23,S
Chevrolet,Silverado 1500,2021,Yellow,51975,420,15,ZR2
Honda,CR-V,2022,Yellow,24601,204,40,Sport Hybrid
Ford,F-150,2025,Grey,47691,325,20,XLT
Audi,Q5,2024,Green,51112,349,21,SQ5
Honda,Pilot,2024,Midnight Blue,39128,285,22,EX-L
Honda,CR-V,2021,White,22454,190,30,LX
Honda,Pilot,2024,Red,36353,285,22,Sport
Toyota,Prius,2021,Yellow,26969,194,52,Limited
Audi,A4,2022,Blue,35490,261,28,Premium Plus 45
Jeep,Wrangler,2020,White,32017,285,17,Rubicon
Ram,1500,2024,Orange,35373,305,23,Tradesman
BMW,X5,2024,Green,59627,375,25,sDrive40i
Ford,Bronco,2022,Pearl White,39146,275,17,Badlands
Volkswagen,Jetta,2024,Burgundy,29379,228,30,GLI Autobahn
BMW,X5,2022,White,71360,523,19,M60i
Audi,A4,2022,Black,35020,261,28,Premium Plus 45
Jeep,Grand Cherokee,2024,Burgundy,41206,293,22,Limited
Nissan,Altima,2023,Charcoal,24919,188,32,SR
Kia,Telluride,2024,Yellow,46274,291,23,SX Prestige
Kia,Telluride,2021,White,24935,291,23,LX
Honda,CR-V,2025,Silver,32248,204,40,Sport Hybrid
Honda,Pilot,2022,Matte Black,32981,285,22,Sport
Chevrolet,Tahoe,2022,Black,49961,355,17,LT
